Продукт,Калорийность,Белки,Жиры,Углеводы
"Моллюск двустворчатый, консервированный, с маринадом",2 кКал,"0,4 г","0,02 г","0,1 г"
"Моллюск двустворчатый, консервированный, сухой продукт без маринада",142 кКал,"24,25 г","1,59 г","5,9 г"
"Моллюск двустворчатый, обжаренный в панировке",202 кКал,"14,24 г","11,15 г","10,33 г"
"Моллюск двустворчатый, приготовленный на пару",148 кКал,"25,55 г","1,95 г","5,13 г"
Моллюск рапана,77 кКал,"16,7 г","1,1 г",0 г
"Молоки рыб, все виды",143 кКал,"22,32 г","6,42 г","1,5 г"
"Молоки рыб, все виды, приготовленные на жару",204 кКал,"28,62 г","8,23 г","1,92 г"
"Морж, мясо и подкожный жир, сырые, (Аляска)",282 кКал,"16,3 г","24,1 г",0 г
"Морж, мясо, сушеное, (Аляска)",251 кКал,57 г,"2,6 г",0 г
"Морж, мясо, сырое, (Аляска)",199 кКал,"19,2 г","13,6 г",0 г
Морская капуста (ламинария) свежая,"24,9 кКал","0,9 г","0,2 г",3 г
Морская капуста (ламинария) сушеная,189 кКал,"7,1 г","1,6 г","22,6 г"
"Морские водоросли агар, сушеные",306 кКал,"6,21 г","0,3 г","73,18 г"
"Морские водоросли агар, сырые",26 кКал,"0,54 г","0,03 г","6,25 г"
"Морские водоросли вакаме, сырые",45 кКал,"3,03 г","0,64 г","8,64 г"
"Морские водоросли ирландский мох, сырой",49 кКал,"1,51 г","0,16 г","10,99 г"
"Морские водоросли канадские культивируемые emi-tsunomata, сушеные",259 кКал,"15,34 г","1,39 г","9,54 г"
"Морские водоросли канадские культивируемые emi-tsunomata, сырые",31 кКал,"1,86 г","0,17 г","1,12 г"
"Морские водоросли порфира, сырые",35 кКал,"5,81 г","0,28 г","4,81 г"
"Морские водоросли спирулина, сушеные",290 кКал,"57,47 г","7,72 г","20,3 г"
"Морские водоросли спирулина, сырые",26 кКал,"5,92 г","0,39 г","2,02 г"
"Морские водоросли, ламинариевые, сырые",43 кКал,"1,68 г","0,56 г","8,27 г"
"Морской черт, мясо, (Аляска)",97 кКал,"11,7 г","5,3 г",0 г
"Морской черт, приготовленный на жару",97 кКал,"18,56 г","1,95 г",0 г
"Морской черт, сырой",76 кКал,"14,48 г","1,52 г",0 г
Муксун,121 кКал,"18,5 г","5,2 г",0 г
"Муксун в томатном соусе, консервы",119 кКал,"13,4 г","5,2 г",5 г
Мясо ластоногих,113 кКал,"24,5 г","1,7 г",0 г
Навага беломорская,91 кКал,"19,2 г","1,6 г",0 г
Навага дальневосточная,69 кКал,"15,1 г","0,9 г",0 г
"Навага жареная, по 1-368",169 кКал,"18,3 г","8,3 г","4,8 г"
"Наггетсы из лосося, панированные, замороженные, разогретые",212 кКал,"12,69 г","11,72 г","13,96 г"
Налим,81 кКал,"18,8 г","0,6 г",0 г
"Налим в томатном соусе, консервы",106 кКал,"14,2 г","3,3 г","5,3 г"
"Налим-ошибень, приготовленный на жару",111 кКал,"24,35 г","0,82 г",0 г
"Налим-ошибень, сырой",87 кКал,"18,99 г","0,64 г",0 г
"Налим, приготовленный на жару",115 кКал,"24,76 г","1,04 г",0 г
"Налим, сырой",90 кКал,"19,31 г","0,81 г",0 г
Нельма,160 кКал,"19,4 г","9,2 г",0 г
"Нельма (белорыбица), сырая, (Аляска)",115 кКал,"22,25 г","2,84 г",0 г
Нерка,157 кКал,"20,3 г","8,4 г",0 г
Нерка,131 кКал,"22,25 г","4,69 г",0 г
Нерка (Аляска),153 кКал,"21,94 г","7,28 г",0 г
Нерка натуральная. Консервы,171 кКал,"19,1 г","10,5 г",0 г
