Продукт,Калорийность,Белки,Жиры,Углеводы
"Детское питание, Сок, грушевый",43 кКал,0 г,0 г,"11,76 г"
"Детское питание, Сок, из апельсинов и абрикосов",46 кКал,"0,8 г","0,1 г","10,8 г"
"Детское питание, Сок, из апельсинов и ананасов",48 кКал,"0,5 г","0,1 г","11,6 г"
"Детское питание, Сок, из апельсинов и бананов",50 кКал,"0,7 г","0,1 г","11,9 г"
"Детское питание, Сок, из морковно-апельсиновый",43 кКал,"0,5 г","0,1 г","9,5 г"
"Детское питание, Сок, из чернослив и апельсина",70 кКал,"0,6 г","0,3 г","16,8 г"
"Детское питание, Сок, фруктовая смесь",47 кКал,"0,1 г","0,1 г","11,6 г"
"Детское питание, Сок, фруктовый пунш, с кальцием",52 кКал,"0,2 г","0,1 г","12,3 г"
"Детское питание, Сок, яблоко",47 кКал,0 г,"0,1 г","11,6 г"
"Детское питание, Сок, яблоко и персик",43 кКал,"0,2 г","0,1 г","10,4 г"
"Детское питание, Сок, яблоко и слива",49 кКал,"0,1 г",0 г,"12,3 г"
"Детское питание, Сок, яблоко и чернослив",72 кКал,"0,2 г","0,1 г",18 г
"Детское питание, Сок, яблочно-апельсиново-банановый",47 кКал,"0,4 г","0,1 г","11,4 г"
"Детское питание, Сок, яблочно-апельсиновый",43 кКал,"0,4 г","0,2 г","10,1 г"
"Детское питание, Сок, яблочно-клюквенный",46 кКал,0 г,"0,02 г","11,49 г"
"Детское питание, Сок, яблочно, батат",47 кКал,"0,3 г","0,1 г","10,9 г"
"Детское питание, Сок, яблочный с вишней",41 кКал,"0,1 г","0,2 г","9,9 г"
"Детское питание, Сок, яблочный, с кальцием",46 кКал,"0,06 г","0,1 г","10,7 г"
"Детское питание, Сухарики",426 кКал,"10,1 г","9,7 г","71,7 г"
"Детское питание, Фасоль зеленая, кусочки, для детей, начинающих ходить",29 кКал,"1,2 г","0,2 г","4,4 г"
"Детское питание, Фруктовый десерт, манго с тапиокой",70 кКал,"0,3 г","0,2 г","17,9 г"
"Детское питание, Фруктовый десерт, суприм",73 кКал,"0,5 г","0,2 г","15,18 г"
"Детское питание, Фрукты, абрикос с тапиокой, пюре",60 кКал,"0,3 г",0 г,"14,8 г"
"Детское питание, Фрукты, бананы с ананасами и тапиокой, пюре",65 кКал,"0,2 г",0 г,"16,2 г"
"Детское питание, Фрукты, бананы с тапиокой, пюре",56 кКал,"0,4 г","0,1 г","13,7 г"
"Детское питание, Фрукты, бананы с яблоками и грушами, пюре",83 кКал,"0,9 г","0,22 г","17,91 г"
"Детское питание, Фрукты, груши с ананасом, пюре",41 кКал,"0,3 г","0,1 г","8,3 г"
"Детское питание, Фрукты, груши, для малышариков",44 кКал,"0,3 г","0,1 г","8,8 г"
"Детское питание, Фрукты, груши, пюре",42 кКал,"0,3 г","0,2 г",8 г
"Детское питание, Фрукты, гуава с папайей и тапиокой, пюре",63 кКал,"0,2 г","0,1 г",17 г
"Детское питание, Фрукты, папайя и яблочное пюре с тапиокой, пюре",70 кКал,"0,2 г","0,1 г","17,5 г"
"Детское питание, Фрукты, персики, пюре",65 кКал,"0,94 г","0,33 г","13,18 г"
"Детское питание, Фрукты, сливы с тапиокой, без аскорбиновой кислоты, пюре",71 кКал,"0,1 г",0 г,"18,5 г"
"Детское питание, Фрукты, тутти-фрутти, для малышариков",69 кКал,"0,4 г","0,4 г","15,6 г"
"Детское питание, Фрукты, тутти-фрутти, пюре",66 кКал,"0,4 г","0,3 г","14,88 г"
"Детское питание, Фрукты, чернослив с тапиокой, без аскорбиновой кислоты, пюре",69 кКал,"0,6 г","0,1 г","15,8 г"
"Детское питание, Фрукты, яблоко и малина, пюре",58 кКал,"0,2 г","0,2 г","13,5 г"
"Детское питание, Фрукты, яблоко и черникой, пюре",61 кКал,"0,2 г","0,2 г","14,5 г"
"Детское питание, Фрукты, яблочное пюре и абрикосы, пюре",44 кКал,"0,2 г","0,2 г","9,84 г"
"Детское питание, Фрукты, яблочное пюре и ананас, пюре",37 кКал,"0,1 г","0,1 г","8,6 г"
"Детское питание, Фрукты, яблочное пюре и вишня, пюре",51 кКал,0 г,0 г,13 г
"Детское питание, Чернослив, без доб. витамина С, пюре",100 кКал,1 г,"0,2 г","20,82 г"
"Детское питание, Яблоки с ветчиной, пюре",62 кКал,"2,6 г","0,9 г","9,1 г"
"Детское питание, Яблоки с курицей, пюре",65 кКал,"2,16 г","1,38 г","9,08 г"
"Детское питание, Яблоки, кубики, для детей, начинающих ходить",50 кКал,"0,19 г","0,36 г","9,66 г"
"Детское питание, Яблочно-банановый сок",51 кКал,"0,2 г","0,1 г","12,1 г"
"Детское питание, Яблочный йогурт, десерт, пюре",93 кКал,"0,8 г","1,6 г",19 г
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL LIPIL, с железом, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кисло",64 кКал,"1,38 г","3,5 г","7,1 г"
"Заменитель грудного молока, MEAD JOHNSON, ENFAMIL, AR LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота",71 кКал,"1,64 г","3,3 г","8,33 г"
