Продукт,Калорийность,Белки,Жиры,Углеводы
        "Title": "Бекон Сырокопченый [Черкизово]",
        "Calories": "252 кКал",
        "Proteins": "15 г",
        "Fats": "20 г",
        "Urglevodi": "3 г"
    },
    {
        "Title": "Бекон Фермерский [Черкизово]",
        "Calories": "384 кКал",
        "Proteins": "12 г",
        "Fats": "36 г",
        "Urglevodi": "3 г"
    },
    {
        "Title": "Брауншвейгская Колбаса Сырокопченая [Черкизово]",
        "Calories": "445 кКал",
        "Proteins": "24 г",
        "Fats": "37 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Буженина [Черкизово]",
        "Calories": "252 кКал",
        "Proteins": "16 г",
        "Fats": "20 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Буженина по-Русски [Черкизово]",
        "Calories": "145 кКал",
        "Proteins": "14 г",
        "Fats": "9 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Ветчина из Индейки [Черкизово]",
        "Calories": "100 кКал",
        "Proteins": "16 г",
        "Fats": "2 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Ветчина Миланская [Черкизово]",
        "Calories": "120 кКал",
        "Proteins": "21,5 г",
        "Fats": "3 г",
        "Urglevodi": "2 г"
    },
    {
        "Title": "Ветчина по-Черкизовски [Черкизово]",
        "Calories": "236 кКал",
        "Proteins": "11 г",
        "Fats": "20 г",
        "Urglevodi": "3 г"
    },
    {
        "Title": "Ветчина с Индейкой [Черкизово]",
        "Calories": "83 кКал",
        "Proteins": "9 г",
        "Fats": "3 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Ветчина со Свиным Окороком [Черкизово]",
        "Calories": "92 кКал",
        "Proteins": "9 г",
        "Fats": "4 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Ветчина Тост Хэм [Черкизово]",
        "Calories": "127 кКал",
        "Proteins": "11 г",
        "Fats": "7 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Ветчина Швейцарская [Черкизово]",
        "Calories": "110 кКал",
        "Proteins": "18 г",
        "Fats": "3 г",
        "Urglevodi": "3 г"
    },
    {
        "Title": "Вырезка Свиная [Черкизово]",
        "Calories": "135 кКал",
        "Proteins": "18 г",
        "Fats": "7 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Говядина Черкизовская [Черкизово]",
