Продукт,Калорийность,Белки,Жиры,Углеводы
        "Calories": "99 кКал",
        "Proteins": "6,7 г",
        "Fats": "0,3 г",
        "Urglevodi": "17,4 г"
    },
    {
        "Title": "Белая фасоль Пикантная в томатном соусе [Бондюэль]",
        "Calories": "125 кКал",
        "Proteins": "5,5 г",
        "Fats": "3 г",
        "Urglevodi": "19 г"
    },
    {
        "Title": "Брокколи [Бондюэль]",
        "Calories": "30 кКал",
        "Proteins": "2,6 г",
        "Fats": "0,2 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Брокколи замороженная [Бондюэль]",
        "Calories": "23 кКал",
        "Proteins": "2,7 г",
        "Fats": "0,1 г",
        "Urglevodi": "4,9 г"
    },
    {
        "Title": "Брюссельская капуста замороженная [Бондюэль]",
        "Calories": "31 кКал",
        "Proteins": "4 г",
        "Fats": "0,5 г",
        "Urglevodi": "8 г"
    },
    {
        "Title": "Букетики из Зеленой Фасоли [Бондюэль]",
        "Calories": "18 кКал",
        "Proteins": "1,6 г",
        "Fats": "0,2 г",
        "Urglevodi": "1,3 г"
    },
    {
        "Title": "Вок [Бондюэль]",
        "Calories": "30 кКал",
        "Proteins": "2,8 г",
        "Fats": "0,2 г",
        "Urglevodi": "4,5 г"
    },
    {
        "Title": "Галеты Овощные [Бондюэль]",
        "Calories": "83 кКал",
        "Proteins": "4 г",
        "Fats": "4,2 г",
        "Urglevodi": "6 г"
    },
    {
        "Title": "Горошек Зелёный Быстрозамороженный [Бондюэль]",
        "Calories": "70 кКал",
        "Proteins": "5 г",
        "Fats": "0,2 г",
        "Urglevodi": "13 г"
    },
    {
        "Title": "Горошек Консервированный [Бондюэль]",
        "Calories": "52 кКал",
        "Proteins": "6,6 г",
        "Fats": "0 г",
        "Urglevodi": "15,4 г"
    },
    {
        "Title": "Грибное ризотто в томатном соусе [Бондюэль]",
        "Calories": "82 кКал",
        "Proteins": "2,4 г",
        "Fats": "0,8 г",
        "Urglevodi": "16,3 г"
    },
    {
        "Title": "Зелёная стручковая фасоль замороженная [Бондюэль]",
        "Calories": "28 кКал",
        "Proteins": "1,9 г",
        "Fats": "0,2 г",
