Продукт,Калорийность,Белки,Жиры,Углеводы
"Творог 1,8% [Пятерочка]",93 кКал,18 г,"1,8 г","1,3 г"
Творог 5% [Пятерочка],121 кКал,16 г,5 г,3 г
Творог 9% [Пятерочка],160 кКал,16 г,9 г,3 г
Творожная Запеканка с Изюмом [Пятерочка],243 кКал,14 г,"6,9 г",31 г
Томатная Паста [Пятерочка],82 кКал,"4,7 г","0,4 г","14,9 г"
Торнадо Энергетик [Пятерочка],55 кКал,0 г,0 г,"13,5 г"
Треска [Пятерочка],73 кКал,16 г,1 г,0 г
Турновер с Ветчиной и Сыром [Пятерочка],370 кКал,8 г,26 г,27 г
Турновер с Картофелем и Грибами [Пятерочка],327 кКал,5 г,20 г,32 г
Тыква Баттернат [Пятерочка],45 кКал,1 г,"0,1 г","9,7 г"
Уголок с Творожной Начинкой [Пятерочка],319 кКал,"8,5 г","12,8 г","42,3 г"
Уголок с Яблочной Начинкой [Пятерочка],311 кКал,"4,8 г","10,5 г","49,1 г"
Улитка Греческая с Курицей и Картофелем [Пятерочка],226 кКал,"8,7 г","6,7 г","32,6 г"
Улитка Греческая с Мясом [Пятерочка],345 кКал,8 г,"18,5 г","35,8 г"
Улитка Греческая с Творогом [Пятерочка],338 кКал,"8,1 г","16,5 г","38,4 г"
Улитка Греческая со Шпинатом и Сыром [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Улитка Косичка Картофель Бекон Шпинат [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Улитка Косичка Курица/Рис/Овощи [Пятерочка],231 кКал,8 г,"6,5 г",35 г
Улитка Косичка Сыр Картофель Бекон [Пятерочка],230 кКал,9 г,"7,5 г","31,5 г"
Улитка с Кремом и Корицей [Пятерочка],280 кКал,"5,5 г",12 г,40 г
Улитка с Повидлом [Пятерочка],240 кКал,9 г,7 г,35 г
Улитка с Сыром и Шпинатом [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Фаготтини с Клубникой [Пятерочка],376 кКал,6 г,"13,2 г","58,6 г"
Фаготтини с Сыром и Ветчиной [Пятерочка],382 кКал,"10,8 г","19,4 г","40,4 г"
Фарш Говяжий (Рестория) [Пятерочка],192 кКал,12 г,16 г,0 г
Филе Грудки [Пятерочка],96 кКал,15 г,4 г,0 г
Финики [Пятерочка],264 кКал,"2,3 г","0,5 г","71,9 г"
Хачапури с Курицей и Грибами [Пятерочка],470 кКал,15 г,28 г,40 г
Хачапури с Сыром [Пятерочка],335 кКал,"10,1 г","19,6 г","28,5 г"
Хачапури с Сыром и Ветчиной [Пятерочка],572 кКал,18 г,37 г,40 г
Хлеб Sibirien Korn Brot [Пятерочка],228 кКал,"6,2 г","2,3 г","48,9 г"
Хлеб Бабушкин [Пятерочка],234 кКал,"7,3 г","0,8 г","49,3 г"
Хлеб Гречишный [Пятерочка],244 кКал,7 г,3 г,46 г
Хлеб Домашний на Молоке [Пятерочка],290 кКал,"9,5 г",2 г,59 г
Хлеб Древнерусский [Пятерочка],201 кКал,10 г,1 г,38 г
Хлеб Заварной [Пятерочка],248 кКал,"6,6 г",1 г,"51,8 г"
Хлеб Зерновой [Пятерочка],274 кКал,"9,2 г","6,6 г","44,4 г"
Хлеб Зерновой Мультизлаковый со Льном [Пятерочка],228 кКал,"6,2 г","2,3 г","48,9 г"
Хлеб Маисовый [Пятерочка],240 кКал,"7,5 г",2 г,46 г
Хлеб Отличный с Чесноком [Пятерочка],229 кКал,"8,3 г","3,3 г","58,8 г"
Хлеб Парижский [Пятерочка],300 кКал,10 г,4 г,55 г
