Продукт,Калорийность,Белки,Жиры,Углеводы
"Курица, тушённая с картофелем и помидорами",123 кКал,"5,6 г",9 г,"5,1 г"
Лангет,"381,3 кКал","33,2 г","27,6 г",0 г
Лук маринованный,"82,2 кКал","1,4 г",5 г,"8,5 г"
Лук порей с грибами,"58,3 кКал","2,4 г","3,6 г","4,3 г"
Лук-порей со свининой,"207,5 кКал",6 г,"15,6 г","11,5 г"
"Лук, жареный во фритюре","239,7 кКал","4,8 г",14 г,"25,3 г"
Луковый клопс,"181,4 кКал","11,4 г","13,3 г","4,2 г"
Люля-кебаб (азербайджанское национальное блюдо),"338,7 кКал","20,1 г","24,6 г","9,9 г"
Макароны с яйцом,"114,9 кКал","3,1 г","7,5 г","9,4 г"
Манты с бараниной (казахское национальное блюдо),"204,9 кКал","11,7 г","10,3 г","17,6 г"
Манты с тыквой,"247,7 кКал",3 г,18 г,"19,7 г"
Масса из рыбы горячего копчения,"340,1 кКал","22,3 г","27,8 г","0,3 г"
Минестроне,"66,8 кКал","4,2 г","3,4 г","5,3 г"
"Мозги, запеченные на гренках","219,6 кКал","9,8 г","12,1 г","19,2 г"
Морепродукты под майонезом,"472,2 кКал",39 г,"34,7 г",1 г
Морковь в формочках,"74,4 кКал","2,1 г","5,3 г","4,8 г"
Морковь глазированная,"146,3 кКал",1 г,"6,8 г","21,6 г"
Морковь с зеленым горошком в молочном соусе,"184,8 кКал","7,4 г","8,9 г","19,9 г"
Морковь тушеная,108 кКал,"0,9 г","8,9 г","6,4 г"
Морковь тушеная с рисом и черносливом,"174,6 кКал","2,6 г","7,1 г","26,6 г"
"Морковь, тушенная в сметанном соусе","152,4 кКал","2,4 г","11,3 г","10,9 г"
"Морковь, тушенная с репчатым луком","57,6 кКал","1,9 г","2,5 г","7,4 г"
"Морковь, тушенная с рисом","130,8 кКал","1,7 г","8,1 г","13,7 г"
"Морковь, тушенная с черносливом или яблоками","146,6 кКал","2,2 г","5,1 г","24,7 г"
Морской гребешок или креветки заливные,222 кКал,"23,6 г","13,7 г","1,2 г"
Морской гребешок отварной с соусом,159 кКал,"16,9 г","6,2 г","9,4 г"
"Мясо ""Пальчики оближешь""","269,4 кКал","9,8 г","24,7 г","2,1 г"
Мясо в горшочке,"57,9 кКал","1,9 г","3,8 г","4,3 г"
Мясо в шубе,"273,5 кКал","11,8 г","24,6 г","1,4 г"
Мясо отварное,"307,2 кКал","34,1 г","18,6 г","0,9 г"
Мясо по-корейски,"173,5 кКал","3,1 г","15,7 г","5,4 г"
Мясо по-французски,"264,6 кКал",10 г,23 г,"4,6 г"
Мясо с курагой,"181,6 кКал","10,1 г","10,6 г","12,3 г"
Мясо с овощами по-индонезийски,"174,7 кКал","5,1 г",11 г,"14,7 г"
Мясо тушеное,"252,3 кКал","17,3 г",9 г,"27,3 г"
Мясо шпигованное,174 кКал,"17,6 г","9,2 г","5,6 г"
"Мясо, жаренное крупным куском","399,3 кКал",35 г,"28,8 г",0 г
"Мясо, жаренное крупным куском, шпигованное","391,5 кКал","32,6 г",29 г,0 г
"Мясо, тушенное с луком в горшочке","293,2 кКал","15,9 г","9,7 г","37,9 г"
Овощи в молочном соусе (1-й вариант),"120,8 кКал","5,6 г","3,7 г","17,5 г"
Овощи отварные с жиром,"90,5 кКал","1,9 г",6 г,"7,5 г"
"Овощи, припущенные в молочном или сметанном соусе","232,1 кКал","4,7 г","17,9 г","13,8 г"
"Овощи, припущенные с жиром","109,2 кКал","2,1 г",6 г,"12,4 г"
Овощное рагу с шампиньонами,"73,2 кКал","1,1 г",6 г,"3,9 г"
Оладьи из капусты с сыром,"213,2 кКал","5,6 г","19,3 г","4,6 г"
Оладьи из печени,"229,1 кКал","20,2 г","14,2 г","5,4 г"
Омлет из взбитых сливок,"256,8 кКал","6,4 г","14,8 г","26,2 г"
Омлет натуральный,"221,9 кКал","12,2 г","18,4 г","1,9 г"
Омлет натуральный,128 кКал,"8,7 г","9,2 г","2,7 г"
Омлет с сыром,342 кКал,"16,3 г","29,7 г","2,6 г"
"Омлет, смешанный с мясными продуктами","351,4 кКал","17,3 г","30,5 г","2,1 г"
"Осетрина, белуга, севрюга, сом с гарниром","132,6 кКал",12 г,8 г,"3,3 г"
Острый рис с помидорами,"128,4 кКал","2,9 г","4,1 г","21,2 г"
Охотничье блюдо,"114,2 кКал","4,9 г","7,9 г","6,4 г"
Палочки из оленины (национальное блюдо народов Севера),"527,1 кКал","21,8 г","47,8 г","2,5 г"
Пампушки с чесноком,"215,3 кКал","5,8 г","3,9 г","41,9 г"
Паста Наполитана,"289,6 кКал","4,2 г","21,5 г",21 г
Паста сырная,"555,2 кКал","14,8 г","54,2 г","2,3 г"
Паштет из печени,"294,5 кКал",14 г,26 г,"1,1 г"
Паштет из фасоли,"330,5 кКал",13 г,"20,9 г",24 г
Паштет рыбный,"276,4 кКал","20,5 г","21,5 г","0,3 г"
"Пельмени ""Московские""",279 кКал,14 г,"14,6 г","24,6 г"
Пельмени из говядины и свинины,"276,9 кКал","13,4 г",12 г,"30,7 г"
Пельмени мясные,245 кКал,"15,5 г",8 г,"29,7 г"
Пельмени по-мордовски,"249,3 кКал","8,9 г","14,2 г",23 г
Пельмени рыбные (полуфабрикат),"209,2 кКал","14,9 г","6,7 г","23,9 г"
"Пельмени рыбные, запеченные в горшочке","377,5 кКал","20,9 г","20,2 г","29,9 г"
Пельмени со свининой и свежей капустой,"268,5 кКал","10,2 г","12,9 г","29,7 г"
Пельмени старорусские с субпродуктами,"265,2 кКал","15,1 г","13,7 г","21,8 г"
"Пельмени, запеченные в сметане","616,6 кКал","25,7 г",40 г,"41,1 г"
Перец с грибами,"73,4 кКал","2,1 г","5,7 г","3,5 г"
