Продукт,Калорийность,Белки,Жиры,Углеводы
"Рис коричневый (нешлифованный), пропаренный, приготовленный, UNCLE BENS",147 кКал,"3,09 г","0,85 г","29,63 г"
"Рис коричневый (нешлифованный), пропаренный. сухой, UNCLE BEN'S",370 кКал,"7,6 г","2,75 г","75,18 г"
"Рис крем, дроблёный рис быстрорастворимый, приготовленный на воде с солью",52 кКал,"0,9 г","0,1 г","11,4 г"
"Рис крем, дроблёный рис быстрорастворимый, сухой",370 кКал,"6,3 г","0,5 г","81,7 г"
"Рис, зерно цельное необработанное",303 кКал,"7,5 г","2,6 г","62,3 г"
Рисовая запеканка по 1-288,144 кКал,4 г,"5,6 г","19,4 г"
Рисовая запеканка с творогом по 1-288,189 кКал,"5,1 г","7,1 г","26,1 г"
Рисовая каша по 1-268,144 кКал,"2,4 г","3,5 г","25,8 г"
"Рисовая лапша, приготовленная",108 кКал,"1,79 г","0,2 г","23,01 г"
"Рисовая лапша, сухая",364 кКал,"5,95 г","0,56 г","78,58 г"
Рисовая мука диетическая,356 кКал,"7,4 г","0,6 г","80,2 г"
"Рисовая мука, белая",366 кКал,"5,95 г","1,42 г","77,73 г"
"Рисовая мука, коричневая",363 кКал,"7,23 г","2,78 г","71,88 г"
"Рисовые отруби, сырые",316 кКал,"13,35 г","20,85 г","28,69 г"
Рожь молотая жареная,322 кКал,"7,9 г","1,7 г","68,7 г"
"Рожь, зерно",338 кКал,"10,34 г","1,63 г","60,76 г"
"Рожь, зерно цельное необработанное",283 кКал,"9,9 г","2,2 г","55,8 г"
Сорго,323 кКал,"10,6 г","4,12 г","59,6 г"
Сорго,329 кКал,"10,62 г","3,46 г","65,39 г"
"Спагетти со шпинатом, приготовленные",130 кКал,"4,58 г","0,63 г","26,15 г"
"Спагетти со шпинатом, сухие",372 кКал,"13,35 г","1,57 г","64,21 г"
"Спагетти, обогащенные протеином, приготовленные",164 кКал,"8,86 г","0,21 г","28,88 г"
"Спагетти, обогащенные протеином, сухие",374 кКал,"21,78 г","2,23 г","63,25 г"
"Сухой завтрак,  MALT-O-MEAL, обычный, сухой",361 кКал,"11,8 г","1,27 г","75,6 г"
"Сухой завтрак, CREAM OF WHEAT, обычный, приготовленный на воде, без соли",50 кКал,"1,44 г","0,21 г","10,52 г"
"Сухой завтрак, CREAM OF WHEAT, обычный, сухой",370 кКал,"10,5 г","1,5 г","76,5 г"
"Сухой завтрак, готовый к употреблению, GENERAL MILLS TOTAL, Cranberry Crunch",328 кКал,"6,9 г","1,72 г",78 г
