Продукт,Калорийность,Белки,Жиры,Углеводы
МИНИ ТВИСТЕР острый (порция 104 гр) [Ростик'c - KFC],"254,8 кКал","9,9 г","10,9 г","29,2 г"
Мой Баскет с Байтс [Ростик'c - KFC],223 кКал,"17,8 г","14,5 г","5,3 г"
Мой Баскет с Крыльями [Ростик'c - KFC],223 кКал,"17,8 г","14,5 г","5,3 г"
Молочный Коктейль [Ростик'c - KFC],154 кКал,"3,4 г","3,5 г","27,2 г"
Молочный Коктейль Пина Колада [Ростик'c - KFC],90 кКал,"1,9 г","1,6 г","16,9 г"
"Мороженое ""Летняя Фантазия"" [Ростик'c - KFC]",168 кКал,"4,7 г","4,8 г","26,5 г"
Мороженое [Ростик'c - KFC],168 кКал,"4,7 г","4,8 г","26,5 г"
Мороженое Kit Kat [Ростик'c - KFC],196 кКал,"3,2 г","5,8 г","32,7 г"
Мороженое Айс Дрим Клубника [Ростик'c - KFC],173 кКал,"3,6 г","3,4 г",32 г
Мороженое Айс Дрим Шоколад [Ростик'c - KFC],272 кКал,"6,2 г","5,6 г","49,4 г"
Мороженое Айсдрим Клубника [Ростик'c - KFC],252 кКал,"5,5 г","5,1 г","46,2 г"
Мороженое в Рожке [Ростик'c - KFC],131 кКал,"3,7 г","3,3 г","21,5 г"
Мороженое Карамельное [Ростик'c - KFC],158 кКал,"2,8 г","3,2 г","29,4 г"
Мороженое Сникерс [Ростик'c - KFC],186 кКал,"3,7 г","6,1 г","29,1 г"
Мороженое Шоколадное [Ростик'c - KFC],154 кКал,3 г,"3,1 г","28,5 г"
Мохито [Ростик'c - KFC],182 кКал,0 г,0 г,"45,5 г"
Наггетсы [Ростик'c - KFC],249 кКал,"10,7 г","15,3 г","16,9 г"
Напиток Черная Смородина [Ростик'c - KFC],144 кКал,0 г,0 г,"36,1 г"
Ножка (3) [Ростик'c - KFC],458 кКал,"38,2 г","26,3 г","17,2 г"
Овсяная Каша [Ростик'c - KFC],94 кКал,"3,3 г","1,9 г",16 г
Острые Крылышки [Ростик'c - KFC],254 кКал,"13,4 г","16,8 г","12,5 г"
Острый Шефбургер [Ростик'c - KFC],239 кКал,"10,7 г","10,1 г","26,2 г"
Острый Шефбургер Де Люкс [Ростик'c - KFC],453 кКал,25 г,"22,8 г","36,9 г"
Панини [Ростик'c - KFC],519 кКал,"24,7 г","21,3 г","56,8 г"
Пати-Баскет [Ростик'c - KFC],437 кКал,"16,8 г","23,9 г","38,5 г"
Печенье Шоколадное с Белым Шоколадом и Фундуком [Ростик'c - KFC],469 кКал,"7,1 г","20,6 г","63,7 г"
