Продукт,Калорийность,Белки,Жиры,Углеводы
"Свинина, подлопаточная часть",128 кКал,"21,65 г","3,91 г",0 г
"Свинина, подлопаточная часть, жареная на огне",155 кКал,"27,47 г","4,23 г",0 г
"Свинина, постное мясо с рёбер средней части",152 кКал,"21,8 г","6,48 г",0 г
"Свинина, постное мясо с рёбер средней части, жареное на огне на огне",216 кКал,"29,46 г","10,05 г",0 г
"Свинина, постное мясо с рёбер средней части, жареное на сковороде",224 кКал,"27,68 г","11,8 г",0 г
"Свинина, постное мясо с рёбер средней части, запечённое",214 кКал,"28,81 г","10,13 г",0 г
"Свинина, постное мясо с рёбер средней части, тушеное",211 кКал,"27,95 г","10,14 г",0 г
"Свинина, рёбра с грудинки с тонким слоем мяса",277 кКал,"15,47 г","23,4 г",0 г
"Свинина, рёбра с грудинки с тонким слоем мяса, запечённые",361 кКал,"20,89 г","30,86 г",0 г
"Свинина, рёбра с грудинки с тонким слоем мяса, тушеные",397 кКал,"29,06 г","30,3 г",0 г
"Свинина, рёбра с лопаточной части",189 кКал,"19,34 г","11,82 г",0 г
"Свинина, рёбра с лопаточной части без кости, жареные на огне",247 кКал,"26,28 г","15,73 г",0 г
"Свинина, рёбра с лопаточной части без кости, запечённые",270 кКал,"26,4 г","18,31 г",0 г
"Свинина, рёбра с лопаточной части, жареные на огне",260 кКал,"25,58 г","17,56 г",0 г
"Свинина, рёбра с лопаточной части, запечённые",359 кКал,"21,75 г","29,46 г",0 г
