Продукт,Калорийность,Белки,Жиры,Углеводы
Био-Йогурт Инжир-Чиа [Ашан],83 кКал,"3,3 г",2 г,13 г
Био-Йогурт Малина [Ашан],83 кКал,"3,3 г",2 г,13 г
Био-Йогурт Чернослив-Злаки [Ашан],83 кКал,"3,3 г",2 г,13 г
Биойогурт [Ашан],40 кКал,"3,2 г",1 г,4 г
Биокефир 1% [Ашан],36 кКал,"3,1 г",1 г,"3,6 г"
"Бисквитное Пирожное ""Какао-Молоко"" [Ашан]",435 кКал,"5,8 г","21,9 г","52,9 г"
Бисквитные Палочки [Ашан],519 кКал,"6,4 г","27,1 г","61,2 г"
Бифидум Бактерин [Ашан],49 кКал,"2,9 г","2,5 г","3,9 г"
Бифидус Натуральный [Ашан],64 кКал,"3,8 г","3,5 г","4,3 г"
"Бифштекс Говяжий ""Фермерский"" [Ашан]",160 кКал,18 г,10 г,0 г
Бифштекс Говяжий [Ашан],160 кКал,18 г,10 г,0 г
Бифштекс из Говядины [Ашан],107 кКал,20 г,3 г,0 г
Бифштекс из Мраморной Говядины [Ашан],180 кКал,18 г,12 г,0 г
Бифштекс с Беконом по-Итальянски Фермерский [Ашан],190 кКал,14 г,15 г,0 г
Бифштекс с Яйцом [Ашан],326 кКал,"26,1 г",24 г,"1,6 г"
Блинчики без Начинки [Ашан],206 кКал,8 г,"4,7 г","32,9 г"
Блинчики с Абрикосовой Начинкой [Ашан],221 кКал,"4,4 г","3,3 г","43,5 г"
Блинчики с Варёной Сгущёнкой [Ашан],292 кКал,"5,7 г","11,7 г","40,9 г"
Блинчики с Ветчиной и Сыром [Ашан],198 кКал,"9,8 г","11,3 г","13,8 г"
Блинчики с Вишневой Начинкой [Ашан],137 кКал,"2,6 г","1,1 г","29,5 г"
Блинчики с Вишней [Ашан],187 кКал,"3,8 г","2,2 г","38,1 г"
Блинчики с Курицей [Ашан],212 кКал,11 г,"8,4 г","23,2 г"
Блинчики с Мясом [Ашан],253 кКал,12 г,"11,7 г",25 г
Блинчики с Творогом [Ашан],178 кКал,"9,3 г",5 г,"23,9 г"
"Блинчики Яблоко, Лимон, Корица [Ашан]",192 кКал,"4,1 г","2,2 г","38,9 г"
Блины Простые [Ашан],178 кКал,"4,6 г","3,2 г","4,2 г"
Бородинские Традиции с Солодом [Ашан],216 кКал,"7,8 г","0,9 г","43,3 г"
Борщ Говядина [Ашан],73 кКал,"3,3 г","3,3 г","7,5 г"
Бостон (Крем Ваниль) [Ашан],300 кКал,"3,5 г",17 г,30 г
Бразильский Орех [Ашан],590 кКал,13 г,62 г,16 г
Брауни [Ашан],437 кКал,"4,9 г",24 г,51 г
Бретонские Галеты со Сливочным Маслом [Ашан],520 кКал,"6,5 г","26,5 г",63 г
Брецель с Солью [Ашан],250 кКал,7 г,3 г,46 г
Бри Де Фамиль [Ашан],280 кКал,18 г,23 г,0 г
Бриош Парижский [Ашан],327 кКал,"8,7 г","7,9 г",55 г
Бриош Руанский [Ашан],338 кКал,"8,5 г","8,8 г",56 г
Бриошь с Шоколадом [Ашан],350 кКал,"8,5 г",9 г,59 г
Бриут с Куриной Грудкой [Ашан],320 кКал,"10,5 г","16,3 г","32,2 г"
Брокколи [Ашан],24 кКал,"2,7 г","0,4 г","4,7 г"
Брокколи Замороженная [Ашан],26 кКал,"2,8 г","0,5 г","3,9 г"
Брокколи на Пару [Ашан],33 кКал,"2,5 г","0,4 г","5,1 г"
Брюссельская Капуста Замороженная [Ашан],45 кКал,5 г,0 г,6 г
Бублик с Кунжутом [Ашан],177 кКал,5 г,5 г,31 г
Бублик с Маком [Ашан],177 кКал,5 г,5 г,31 г
